Image Name,random_split
Image_1.jpg,val
Image_2.jpg,train
Image_3.jpg,train
Image_4.jpg,train
Image_5.jpg,train
Image_6.jpg,train
Image_7.jpg,train
Image_8.jpg,val
Image_9.jpg,test
Image_10.jpg,train
Image_11.jpg,train
Image_12.jpg,train
Image_13.jpg,train
Image_14.jpg,train
Image_15.jpg,train
Image_16.jpg,train
Image_17.jpg,train
Image_18.jpg,train
Image_19.jpg,train
Image_20.jpg,train
Image_21.jpg,train
Image_22.jpg,train
Image_23.jpg,train
Image_24.jpg,train
Image_25.jpg,val
Image_26.jpg,val
Image_27.jpg,val
Image_28.jpg,test
Image_29.jpg,train
Image_30.jpg,train
Image_31.jpg,test
Image_32.jpg,train
Image_33.jpg,train
Image_34.jpg,train
Image_35.jpg,train
Image_36.jpg,val
Image_37.jpg,train
Image_38.jpg,train
Image_39.jpg,train
Image_40.jpg,train
Image_41.jpg,train
Image_42.jpg,train
Image_43.jpg,train
Image_44.jpg,train
Image_45.jpg,train
Image_46.jpg,val
Image_47.jpg,train
Image_48.jpg,train
Image_49.jpg,train
Image_50.jpg,val
Image_51.jpg,test
Image_52.jpg,train
Image_53.jpg,train
Image_54.jpg,train
Image_55.jpg,val
Image_56.jpg,train
Image_57.jpg,train
Image_58.jpg,val
Image_59.jpg,train
Image_60.jpg,train
Image_61.jpg,train
Image_62.jpg,val
Image_63.jpg,train
Image_64.jpg,train
Image_65.jpg,val
Image_66.jpg,val
Image_67.jpg,train
Image_68.jpg,train
Image_69.jpg,train
Image_70.jpg,train
Image_71.jpg,train
Image_72.jpg,train
Image_73.jpg,train
Image_74.jpg,train
Image_75.jpg,train
Image_76.jpg,train
Image_77.jpg,train
Image_78.jpg,train
Image_79.jpg,val
Image_80.jpg,train
Image_81.jpg,train
Image_82.jpg,train
Image_83.jpg,val
Image_84.jpg,train
Image_85.jpg,train
Image_86.jpg,val
Image_87.jpg,train
Image_88.jpg,test
Image_89.jpg,train
Image_90.jpg,train
Image_91.jpg,train
Image_92.jpg,train
Image_93.jpg,val
Image_94.jpg,train
Image_95.jpg,train
Image_96.jpg,test
Image_97.jpg,train
Image_98.jpg,train
Image_99.jpg,train
Image_100.jpg,train
Image_101.jpg,train
Image_102.jpg,train
Image_103.jpg,train
Image_104.jpg,val
Image_105.jpg,train
Image_106.jpg,test
Image_107.jpg,val
Image_108.jpg,train
Image_109.jpg,val
Image_110.jpg,train
Image_111.jpg,train
Image_112.jpg,train
Image_113.jpg,test
Image_114.jpg,test
Image_115.jpg,val
Image_116.jpg,train
Image_117.jpg,test
Image_118.jpg,test
Image_119.jpg,train
Image_120.jpg,train
Image_121.jpg,train
Image_122.jpg,train
Image_123.jpg,train
Image_124.jpg,train
Image_125.jpg,test
Image_126.jpg,train
Image_127.jpg,train
Image_128.jpg,train
Image_129.jpg,train
Image_130.jpg,test
Image_131.jpg,val
Image_132.jpg,train
Image_133.jpg,test
Image_134.jpg,train
Image_135.jpg,train
Image_136.jpg,train
Image_137.jpg,train
Image_138.jpg,train
Image_139.jpg,train
Image_140.jpg,train
Image_141.jpg,val
Image_142.jpg,train
Image_143.jpg,train
Image_144.jpg,val
Image_145.jpg,train
Image_146.jpg,train
Image_147.jpg,val
Image_148.jpg,train
Image_149.jpg,train
Image_150.jpg,train
Image_151.jpg,train
Image_152.jpg,train
Image_153.jpg,train
Image_154.jpg,train
Image_155.jpg,train
Image_156.jpg,train
Image_157.jpg,train
Image_158.jpg,val
Image_159.jpg,train
Image_160.jpg,train
Image_161.jpg,test
Image_162.jpg,test
Image_163.jpg,train
Image_164.jpg,train
Image_165.jpg,train
Image_166.jpg,train
Image_167.jpg,val
Image_168.jpg,val
Image_169.jpg,train
Image_170.jpg,train
Image_171.jpg,train
Image_172.jpg,train
Image_173.jpg,train
Image_174.jpg,train
Image_175.jpg,train
Image_176.jpg,test
Image_177.jpg,train
Image_178.jpg,val
Image_179.jpg,train
Image_180.jpg,val
Image_181.jpg,train
Image_182.jpg,train
Image_183.jpg,val
Image_184.jpg,train
Image_185.jpg,train
Image_186.jpg,train
Image_187.jpg,train
Image_188.jpg,train
Image_189.jpg,test
Image_190.jpg,val
Image_191.jpg,train
Image_192.jpg,train
Image_193.jpg,val
Image_194.jpg,train
Image_195.jpg,train
Image_196.jpg,train
Image_197.jpg,train
Image_198.jpg,test
Image_199.jpg,train
Image_200.jpg,train
Image_201.jpg,val
Image_202.jpg,train
Image_203.jpg,train
Image_204.jpg,test
Image_205.jpg,train
Image_206.jpg,train
Image_207.jpg,train
Image_208.jpg,train
Image_209.jpg,test
Image_210.jpg,train
Image_211.jpg,train
Image_212.jpg,train
Image_213.jpg,train
Image_214.jpg,train
Image_215.jpg,train
Image_216.jpg,val
Image_217.jpg,train
Image_218.jpg,test
Image_219.jpg,train
Image_220.jpg,train
Image_221.jpg,train
